id,title,link,duration,rank,artist_id,artist_name
1818266357,Big Jet Plane,https://www.deezer.com/track/1818266357,165,391834,13052145,C3DRIC
2121167377,Get Down (feat. Rayless),https://www.deezer.com/track/2121167377,131,166234,13052145,C3DRIC
1903923887,Stand Up,https://www.deezer.com/track/1903923887,193,305813,13052145,C3DRIC
2063528447,Get Inside My Head (feat. Eirik Næss),https://www.deezer.com/track/2063528447,150,353376,13052145,C3DRIC
2202325107,Talk,https://www.deezer.com/track/2202325107,151,260065,13052145,C3DRIC
2382470785,FEEL (feat. REWEL),https://www.deezer.com/track/2382470785,134,203916,13052145,C3DRIC
2562052532,Nirvana (feat. Kezano),https://www.deezer.com/track/2562052532,135,355052,13052145,C3DRIC
2239465447,No Way,https://www.deezer.com/track/2239465447,135,148731,13052145,C3DRIC
2205911867,Give My Life (feat. Spijk),https://www.deezer.com/track/2205911867,177,377020,13052145,C3DRIC
2647311452,Thousand Reasons,https://www.deezer.com/track/2647311452,114,401854,13052145,C3DRIC
2593619582,Golden,https://www.deezer.com/track/2593619582,138,234709,13052145,C3DRIC
3313328181,Ushuaia (Party Everyday),https://www.deezer.com/track/3313328181,167,271373,13052145,C3DRIC
2192754427,Save Me (feat. WLZN),https://www.deezer.com/track/2192754427,132,203056,13052145,C3DRIC
2485016971,Cherry,https://www.deezer.com/track/2485016971,153,384018,13052145,C3DRIC
2833856202,Chasing The Sun,https://www.deezer.com/track/2833856202,138,330601,13052145,C3DRIC
2531279291,Purple Skies (feat. Jordan Jade),https://www.deezer.com/track/2531279291,169,242566,13052145,C3DRIC
3078258721,Novacane (feat. Felix Samuel),https://www.deezer.com/track/3078258721,117,157657,13052145,C3DRIC
2607437812,Sun Goes Up,https://www.deezer.com/track/2607437812,133,274147,13052145,C3DRIC
2653063102,Overdose,https://www.deezer.com/track/2653063102,156,160247,13052145,C3DRIC
2546135442,Givin In,https://www.deezer.com/track/2546135442,156,224260,13052145,C3DRIC
3228316821,Wandering Heart (feat. Séb Mont),https://www.deezer.com/track/3228316821,128,303701,13052145,C3DRIC
2006309827,Un Autre Monde,https://www.deezer.com/track/2006309827,134,315400,13052145,C3DRIC
3216586571,Sun Is Rising,https://www.deezer.com/track/3216586571,119,365439,283613031,Jack David
3431109191,Sanity,https://www.deezer.com/track/3431109191,157,264559,283613031,Jack David
2710712742,Lost In The Night,https://www.deezer.com/track/2710712742,169,309426,283613031,Jack David
3020014901,On The Run,https://www.deezer.com/track/3020014901,168,134944,283613031,Jack David
2343076875,Paradise,https://www.deezer.com/track/2343076875,166,322957,4843148,Alon
866635702,Gotta Let You Go,https://www.deezer.com/track/866635702,161,29608,4843148,Alon
1075250792,Home In Time,https://www.deezer.com/track/1075250792,150,389255,4843148,Alon
2873234532,Somebody Else (feat. Blair),https://www.deezer.com/track/2873234532,131,312273,4843148,Alon
2472015961,Holy,https://www.deezer.com/track/2472015961,148,178557,4843148,Alon
1789593037,It's On Me,https://www.deezer.com/track/1789593037,144,189790,4843148,Alon
2871902082,Feeling Low,https://www.deezer.com/track/2871902082,132,274088,4843148,Alon
2484956231,Dynamite,https://www.deezer.com/track/2484956231,160,192941,4843148,Alon
2967258761,Celebrate,https://www.deezer.com/track/2967258761,122,248623,4843148,Alon
2621431192,Cherish,https://www.deezer.com/track/2621431192,148,348029,4843148,Alon
3041704611,Older,https://www.deezer.com/track/3041704611,119,281951,4843148,Alon
3317308641,Everything,https://www.deezer.com/track/3317308641,148,3088,4843148,Alon
1434198802,What's On Your Mind,https://www.deezer.com/track/1434198802,141,253348,4843148,Alon
3413334801,Good Day,https://www.deezer.com/track/3413334801,131,172155,4843148,Alon
3314084431,Morning Comes,https://www.deezer.com/track/3314084431,136,250466,4843148,Alon
2378421445,With Or Without You,https://www.deezer.com/track/2378421445,153,330383,132110672,Mecdoux
2432776785,Smooth Operator,https://www.deezer.com/track/2432776785,190,434264,132110672,Mecdoux
1904402617,The Man Who Can't Be Moved,https://www.deezer.com/track/1904402617,200,316513,132110672,Mecdoux
2461930705,Wicked Game,https://www.deezer.com/track/2461930705,141,385014,132110672,Mecdoux
2173046877,Memories,https://www.deezer.com/track/2173046877,148,237994,132110672,Mecdoux
1842100877,Can't Get You Out Of My Head,https://www.deezer.com/track/1842100877,128,384161,132110672,Mecdoux
1903900327,Love Tonight,https://www.deezer.com/track/1903900327,153,349970,132110672,Mecdoux
2454332635,Smalltown Boy,https://www.deezer.com/track/2454332635,150,329126,132110672,Mecdoux
2450958885,I Feel It Coming,https://www.deezer.com/track/2450958885,168,355021,132110672,Mecdoux
1651016012,September,https://www.deezer.com/track/1651016012,164,339810,132110672,Mecdoux
3388640091,Ordinary,https://www.deezer.com/track/3388640091,178,333623,132110672,Mecdoux
2366847165,Lovefool,https://www.deezer.com/track/2366847165,150,313825,132110672,Mecdoux
1903933407,Maneater,https://www.deezer.com/track/1903933407,152,333631,132110672,Mecdoux
2017647087,Am I Wrong,https://www.deezer.com/track/2017647087,146,388347,132110672,Mecdoux
2480950111,Dance The Night,https://www.deezer.com/track/2480950111,147,271592,132110672,Mecdoux
2937886031,Beautiful Things,https://www.deezer.com/track/2937886031,189,320017,132110672,Mecdoux
